1224,Σπ. Εξαρχάκος,false,false,false,,false
1225,στίχοι από την Οδύσσεια,false,false,false,,false
1226,Δανάη,false,false,false,,false
1227,Τώνης Στρατής,false,false,false,,false
1228,Βασ. Χαμηλοθώρης,false,false,false,,false
1229,Κ. Κουκούλης,false,false,false,,false
1230,Χ. & Π. Κατσιμίχα,false,false,false,,false
1231,Θόδ. Τσιρώνης,false,false,false,,false
1232,Γιώ. Κοντογιώργος,false,false,false,,false
1233,Victor Jara,false,false,false,,false
1234,Don Bucky,false,false,false,,false
1235,Ν. Σαριδάκης (Μαύρος),false,false,false,,false
1236,Σαράντος Αλιβιζάτος,false,false,false,,false
1237,Ι. Χατζιδάκης,false,false,false,,false
1238,Κρίσις (Δημ. Μπόσκος),false,false,false,,false
1239,Κ. Παντίδης,false,false,false,,false
1240,Τζικ Ναγκασιάν,false,false,false,,false
1241,Christie,false,false,false,,false
1242,Μαν. Μπαρμπεράκης,false,false,false,,false
1243,Κάβουρας,false,false,false,,false
1244,Κ. Παπαδημητρίου,false,false,false,,false
1245,G. F. Reververi - απόδοση στα ελλην. Ν. Μαστοράκης,false,false,false,,false
1246,Κλειώ Ανδρειακοπούλου,false,false,false,,false
1247,Νίκος Πάνος,false,false,false,,false
1248,Α. Δασκαλόπουλος,false,false,false,,false
1249,Μιχ. Πολυχρονάκης,false,false,false,,false
1250,Stevie Winwood,false,false,false,,false
1251,Mann,false,false,false,,false
1252,Σωτ. Οικονομόπουλος,false,false,false,,false
1253,Αρμάος,false,false,false,,false
1254,Ηρ. Παπασιδέρης ή Μουφλουζέλης,false,false,false,,false
1255,Laing - απόδοση στα ελλην. Τ. Αντωνιάδης,false,false,false,,false
1256,Δημ. Κυρτσίδης,false,false,false,,false
1257,"Μάνεσης, Κρέων Ρηγόπουλος",false,false,false,,false
1258,Απ. Κανάλης,false,false,false,,false
1259,"Παν. Μιχαλόπουλος, Βαγγ. Δρυγιανάκης",false,false,false,,false
1260,Γ. Τσακασιάνος,false,false,false,,false
1261,Γιώ. Καψοκοίλης,false,false,false,,false
1262,παραδοσαικό,false,false,false,,false
1263,Bancompagni - απόδοση στα ελλην. Ρέτη Ζαλοκώστα,false,false,false,,false
1264,"Αντ. Πλωμαρίτης, Πύρπασος",false,false,false,,false
1265,Ηλ. Πολυδώρου,false,false,false,,false
1266,Ιωάν. Μπερνιδάκης (Μπαξεβάνης),false,false,false,,false
1267,Γιώ. Ασημακόπουλος,false,false,false,,false
1268,Δ. Κάκος,false,false,false,,false
1269,J. Dermarny,false,false,false,,false
1270,R. Stolz,false,false,false,,false
1271,"Χρ. Γιαννακόπουλος, Γιώ. Ασημακόπουλος",false,false,false,,false
1272,Κ. Λογοθετίδης,false,false,false,,false
1273,Θωμάς Μοσχόπουλος,false,false,false,,false
1274,Ν. Ιασωνίδης,false,false,false,,false
1275,Κωστής Παπασταματίου,false,false,false,,false
1276,T. S. Eliot,false,false,false,,false
1277,Ι. Λεωτσάκος,false,false,false,,false
1278,Τσιτσάνης (Κολοκοτρώνης),false,false,false,,false
1279,Σάκης Παπανικολάου,false,false,false,,false
1280,Σταύρος Ρουχωτάς,false,false,false,,false
1281,H. W. Casey,false,false,false,,false
1282,Κ. Γκίκας,false,false,false,,false
1283,Κ. Τσακατσάκης,false,false,false,,false
